Upload E-Waste Image,Prediction,Confidence,Class Probabilities,timestamp
.gradio\flagged\Upload E-Waste Image\dd3dde0d874bc07f729a\battery.jpg,"{""label"": null, ""confidences"": null}","{""label"": null, ""confidences"": null}",,2025-06-19 18:54:14.447379
.gradio\flagged\Upload E-Waste Image\39e39d4bce8eb1dcede9\battery.jpg,"{""label"": null, ""confidences"": null}","{""label"": null, ""confidences"": null}",,2025-06-19 18:54:16.367322
